user_id,date,daily_income,daily_expense,txn_count,income_txn_count,expense_txn_count,daily_net,has_income,has_expense,dow,is_weekend,day,month,is_summer_vacation,is_winter_vacation,expense_7d_sum,expense_7d_mean,net_7d_sum,txn_7d_sum,expense_30d_sum,expense_30d_mean,net_30d_sum,txn_30d_sum,future_expense_7d_sum,month_start,fold
user1,2023-10-01,0.0,0.0,0,0,0,0.0,0,0,6,1,1,10,0,0,1443.0,206.14285714285714,-1443.0,9.0,8360.0,278.6666666666667,-8360.0,37.0,2399.0,2023-10-01,2
user1,2023-10-02,0.0,304.0,4,0,4,-304.0,0,1,0,0,2,10,0,0,1443.0,206.14285714285714,-1443.0,9.0,8360.0,278.6666666666667,-8360.0,37.0,2634.0,2023-10-01,2
user1,2023-10-03,0.0,695.0,3,0,3,-695.0,0,1,1,0,3,10,0,0,1017.0,145.28571428571428,-1017.0,12.0,8664.0,288.8,-8664.0,41.0,2414.0,2023-10-01,2
user1,2023-10-04,0.0,280.0,2,0,2,-280.0,0,1,2,0,4,10,0,0,1662.0,237.42857142857142,-1662.0,14.0,9359.0,311.96666666666664,-9359.0,44.0,2269.0,2023-10-01,2
user1,2023-10-05,0.0,255.0,2,0,2,-255.0,0,1,3,0,5,10,0,0,1727.0,246.71428571428572,-1727.0,13.0,9639.0,321.3,-9639.0,46.0,2219.0,2023-10-01,2
user1,2023-10-06,0.0,865.0,2,0,2,-865.0,0,1,4,0,6,10,0,0,1534.0,219.14285714285714,-1534.0,11.0,9668.0,322.26666666666665,-9668.0,47.0,1689.0,2023-10-01,2
user1,2023-10-07,0.0,0.0,0,0,0,0.0,0,0,5,1,7,10,0,0,2399.0,342.7142857142857,-2399.0,13.0,10025.0,334.1666666666667,-10025.0,46.0,1714.0,2023-10-01,2
user1,2023-10-08,0.0,0.0,0,0,0,0.0,0,0,6,1,8,10,0,0,2399.0,342.7142857142857,-2399.0,13.0,9825.0,327.5,-9825.0,44.0,1864.0,2023-10-01,2
user1,2023-10-09,0.0,539.0,4,0,4,-539.0,0,1,0,0,9,10,0,0,2399.0,342.7142857142857,-2399.0,13.0,6825.0,227.5,-6825.0,43.0,1545.0,2023-10-01,2
user1,2023-10-10,0.0,475.0,4,0,4,-475.0,0,1,1,0,10,10,0,0,2634.0,376.2857142857143,-2634.0,13.0,7364.0,245.46666666666667,-7364.0,47.0,1217.0,2023-10-01,2
user1,2023-10-11,0.0,135.0,3,0,3,-135.0,0,1,2,0,11,10,0,0,2414.0,344.85714285714283,-2414.0,14.0,7839.0,261.3,-7839.0,51.0,1247.0,2023-10-01,2
user1,2023-10-12,0.0,205.0,2,0,2,-205.0,0,1,3,0,12,10,0,0,2269.0,324.14285714285717,-2269.0,15.0,7629.0,254.3,-7629.0,50.0,1280.0,2023-10-01,2
user1,2023-10-13,0.0,335.0,2,0,2,-335.0,0,1,4,0,13,10,0,0,2219.0,317.0,-2219.0,15.0,7765.0,258.8333333333333,-7765.0,51.0,1208.0,2023-10-01,2
user1,2023-10-14,0.0,25.0,1,0,1,-25.0,0,1,5,1,14,10,0,0,1689.0,241.28571428571428,-1689.0,15.0,7918.0,263.93333333333334,-7918.0,51.0,2083.0,2023-10-01,2
user1,2023-10-15,0.0,150.0,1,0,1,-150.0,0,1,6,1,15,10,0,0,1714.0,244.85714285714286,-1714.0,16.0,7605.0,253.5,-7605.0,49.0,2383.0,2023-10-01,2
